quadrant,tag,stemID,treeID,IDSpp,sprout,recruited,x,y,dbh,condition,crown_position,shape,damage,observation,ExactDate,censusID
A12,401,A12_401,A12_401,TEST,,Prior,10,70,13,V,EM,,,,2/3/2024,2024
A12,402,A12_402,A12_402,TEST,,Prior,60,70,9.9,V,EM,,,,2/3/2024,2024
A12,403,A12_403,A12_404,TEST,R1,Prior,140,90,8.9,V,CD,,,,2/3/2024,2024
A12,404,A12_404,A12_404,TEST,R1,Prior,150,110,12.4,V,CD,,,,2/3/2024,2024
A12,405,A12_405,A12_405,TEST,,Prior,220,50,11,V,IN,,,,2/3/2024,2024
A12,406,A12_406,A12_406,TEST,,Prior,240,60,7.4,V,IN,,,,2/3/2024,2024
A12,407,A12_407,A12_407,TEST,,Prior,270,50,12,V,IN,,,,2/3/2024,2024
A12,408,A12_408,A12_408,SACO,,Prior,370,140,44.8,V,IN,,,,2/3/2024,2024
A12,409,A12_409,A12_409,TEST,,Prior,180,300,6,M,BD,,C,Botado en el suelo,2/3/2024,2024
A12,410,A12_410,A12_410,TEST,,Prior,170,270,5.8,M,-999,I,,,2/3/2024,2024
A13,561,A13_561,A13_561,TEST,,Prior,0,75,11.5,V,BD,,,,2/3/2024,2024
A13,562,A13_562,A13_562,TEST,,Prior,0,370,-999,M,-999,,,,2/3/2024,2024
A13,563,A13_563,A13_563,TEST,,Prior,70,360,-999,M,-999,,,,2/3/2024,2024
A13,565,A13_565,A13_565,PONU,,Prior,260,220,95,V,EM,,,,2/3/2024,2024
A13,566,A13_566,A13_566,TEST,,Prior,160,500,10.4,V,BD,,,,2/3/2024,2024
A13,NA,A13_NA,A13_NA,TEST,,Prior,250,230,-999,A,-999,-999,,no encontrado,2/3/2024,2024
A14,2306,A14_2306,A14_2306,DRWI,,Prior,320,410,21.5,V,EM,,,cambio de placa 2306,2/3/2024,2024
A14,432,A14_432,A14_432,DRWI,,Prior,50,100,17.8,E,IN,I,,especie canelo DRWI,2/3/2024,2024
A14,433,A14_433,A14_433,DRWI,,Prior,125,340,23,V,EM,,,,2/3/2024,2024
A14,434,A14_434,A14_434,DRWI,,Prior,70,390,15.1,V,CD,,,,2/3/2024,2024
A14,436,A14_436,A14_436,CAPA,,Prior,340,450,9.8,V,DO,I,,,2/3/2024,2024
A14,437,A14_437,A14_437,CRHO,,Prior,370,430,5.8,V,BD,I,,,2/3/2024,2024
A14,438,A14_438,A14_438,DRWI,,Prior,350,480,7.3,E,BD,,,,2/3/2024,2024
A14,439,A14_439,A14_439,DRWI,,Prior,440,440,12.5,M,-999,I,,,2/3/2024,2024
A14,440,A14_440,A14_440,DRWI,,Prior,430,390,26.8,V,EM,,,,2/3/2024,2024
A14,441,A14_441,A14_441,DRWI,,Prior,410,320,7.7,M,-999,,,Muerto en pie,2/3/2024,2024
A14,442,A14_442,A14_442,DRWI,,Prior,490,210,6.7,E,IN,,,,2/3/2024,2024
A14,444,A14_444,A14_444,DRWI,,Prior,490,90,9.4,V,IN,,,,2/3/2024,2024
A15,102,A15_102,A15_102,DRWI,,Prior,35,250,6.3,M,-999,,Dd,Descabezado,2/3/2024,2024
A15,103,A15_103,A15_103,DRWI,,Prior,120,195,8.4,M,-999,,,,2/3/2024,2024
A15,104,A15_104,A15_104,DRWI,,Prior,160,155,15.8,V,CD,,,,2/3/2024,2024
A15,105,A15_105,A15_105,DRWI,,Prior,210,90,5.7,M,-999,I,,,2/3/2024,2024
A15,106,A15_106,A15_106,DRWI,,Prior,250,15,5.7,M,-999,,Dq,Dq,2/3/2024,2024
A15,107,A15_107,A15_107,NONI,,Prior,435,0,-999,A,-999,-999,,no se encontrado,2/3/2024,2024
A15,108,A15_108,A15_108,DRWI,,Prior,360,190,8,E,IN,,H,Hongos en la superficie foliar,2/3/2024,2024
A15,109,A15_109,A15_109,DRWI,,Prior,380,210,11.9,V,CD,,,,2/3/2024,2024
A15,110,A15_110,A15_110,-999,,Prior,300,170,-999,M,-999,,C,log,2/3/2024,2024
A15,111,A15_111,A15_111,PONU,,Prior,440,360,11.8,V,CD,,,,2/3/2024,2024
A15,112,A15_112,A15_112,AMLU,,Prior,390,460,5.4,M,-999,,,,2/3/2024,2024
A16,1,A16_1,A16_1,NONI,,Prior,180,205,20.5,V,EM,,,,2/3/2024,2024
A16,2,A16_2,A16_2,NONI,,Prior,190,420,16.5,V,DO,,,,2/3/2024,2024
A16,3,A16_3,A16_3,DRWI,,Prior,330,330,11.5,M,-999,I,,,2/3/2024,2024
A16,4,A16_4,A16_4,DRWI,,Prior,410,330,9,V,IN,,,,2/3/2024,2024
A17,501,A17_501,A17_501,NONI,R1,Prior,260,16,20.4,V,IN,,,,2/3/2024,2024
A17,502,A17_502,A17_501,CAPA,R1,Prior,260,75,6.8,V,IN,I,,mismo que el 501,2/3/2024,2024
A17,503,A17_503,A17_503,AMME,,Prior,15,200,5.9,V,IN,,,,2/3/2024,2024
